Dataset Name,Method Type,Method Description,
UH_WALL_2015,Belt Transects - Line Point Intercept,"Bleaching was assessed at 2 reef sites in K?ne‘ohe Bay.  At each reef site, transects were run at three reef habitats: reef backreef (0-1m), reef crest (0-1m) and reef slope (2-3m).  At each habitat a 20m transect was run across the reef surface and benthic composition (coral, CCA, sand/bare/turf, other) was recorded at 1m intervals.  Where corals were observed on the transect line the species ID and bleaching state was recorded.  Bleaching state was quantified categorically (non-pale, pale, white) and determined visually. In total, 2 transects were run at each habitat at each reef for a total of 6 transects per reef.",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
