Dataset_Name,Dataset_ID,Organization,Observer,Island,Region,Sector,Survey_Name,Survey_ID_InternalToYourProject,Depth_ft,Depth_bin,Latitude_DD,Longitude_DD,ObservationDate,AreaSurveyed_m2,LiveCoralCover,LiveCoralCover_Bin,CoralBleached,CoralBleached_Bin,BleachingSeverity,Taxon1_Code,Taxon1_Cover,Taxon1_Bleached,Taxon1_Ave_Sev,Taxon1_Max_Sev,Taxon2_Code,Taxon2_Cover,Taxon2_Bleached,Taxon2_Ave_Sev,Taxon2_Max_Sev,Taxon3_Code,Taxon3_Cover,Taxon3_Bleached,Taxon3_Ave_Sev,Taxon3_Max_Sev,Taxon4_Code,Taxon4_Cover,Taxon4_Bleached,Taxon4_Ave_Sev,Taxon4_Max_Sev,Taxon5_Code,Taxon5_Cover,Taxon5_Bleached,Taxon5_Ave_Sev,Taxon5_Max_Sev,Comments_Observation
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,North Kohala,Fixed_Lapakahi,1,40,,20.16001,-155.90017,10/15/2019,100,30,,32,,1,PCOM,15,50,1,,PLOB,10,20,1,,,,,,,,,,,,,,,,,"POCO: a few BL (2)s, POME: 1 small colony 50% BL (3)"
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,North Kona,Fixed_Makalawena,8,34,,19.7965,-156.02786,10/16/2019,100,20,,28,,2,PLOB,15,10,2,,PCOM,5,80,1,,,,,,,,,,,,,,,,,"MOCA: some shaded areas NB (0), PAVA: <0.5% cover, POCO:1 col BL(3), 1 col BL(3/4), POEV: <0.5% cover blue flourescense"
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,North Kona,Fixed_Old Kona Airport ,"98, HAW_SIO_K10",37,,19.64212,-156.0121,10/17/2019,100,45,,40,,2,PCOM,25,40,1,,PLOB,20,40,2,,,,,,,,,,,,,,,,,"MOCA: <0.5% cover, BL (1)"
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,South Kohala,Fixed_Puako Scripps site,"04, HAW-SIO-997",27,,19.96988,-155.8488,10/15/2019,100,10,,18,,1,PLOB,9,20,1,,,,,,,,,,,,,,,,,,,,,,"PAVA: 1 colony NB (0), POME: 1 colony 50% BL (3), POLO: 2 colonies BL(3), POCO: blue, not white.  Lots of rubble at site."
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,North Kona,Fixed_Red Hill,17,47,,19.50455,-155.95306,10/17/2019,100,45,,48,,1,PCOM,35,50,1,,PLOB,10,40,1,,,,,,,,,,,,,,,,,"MAPA: <0.5% cover BL(1/2), POLO: a few BL(2) exposed surfaces, POME: <0.5% cover, BL(3), POMO/ POEV/MOPA- Severe BL (3) outside quad"
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,North Kona,Fixed_S Oneo Bay,14,40,,19.6312,-155.993,10/17/2019,100,25,,36,,2,PCOM,15,40,2,,PLOB,10,30,2,,,,,,,,,,,,,,,,,"MOCA: <0.5% cover, 20% BL(1/2), MOPA: <0.5% cover, PL(1), POLO: patchy BL (2) along upper/UV exposed surfaces"
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,North Kohala,Fixed_Waiakailio,3,46,,20.07392,-155.86452,10/15/2019,100,40,,72,,1,PCOM,35,80,1,,PLOB,5,20,1,,,,,,,,,,,,,,,,,No other species obs in quadrat
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,South Kona,Honaunau Bay,HAW-SIO-K08,31,,19.42335,-155.91307,10/18/2019,100,40,,42,,2,PCOM,25,50,2,,PLOB,15,30,2,,,,,,,,,,,,,,,,,"MOCA: <1% cover 50% BL(1), MOPA: a few BL(3), PAVA: <1% cover, 20% BL, POCO: a few of total BL (4), POME: 1 col BL(2), PSNA: <1% cover, 10% BL(1), POLO 2% mortality (BL(4)), POMO outside quad, 80% BL(3) no obvious mortality"
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,South Kohala,Honokoope,102-Temp,8,,19.933926,-155.880616,10/16/2019,100,20,,9,,2,PLOB,12,5,2,,PMEA,5,15,2,,MPAT,1,50,2,,,,,,,,,,,,
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,South Kona,Keei Retro_Site I,Keei Site I,12,,19.4629,-155.92522,10/18/2019,100,60,,5,,1,PLOB,60,5,1,,,,,,,,,,,,,,,,,,,,,,"LEBE: 50% BL(2), POLO: a few cols BL (2)"
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,South Kona,Keei Retro_Site V,Keei Site V,28,,19.4632,-155.92545,10/18/2019,100,10,,50,,2,PCOM,8,50,2,,PLOB,2,50,2,,,,,,,,,,,,,,,,,Site in poor condition
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,South Kona,Shallow_Hookena,003-Temp,20,,19.37829,-155.89838,10/18/2019,100,50,,38,,1,PCOM,30,50,1,,PLOB,15,15,2,,MCAP,2,95,3,,,,,,,,,,,,"POGR: BL(2) tips only, POEV: 1 col blue flourescense (BL(1/2)), POLO: BL along exposed surfaces, POME: recruits bleached, Montiporids in area severely bleached. "
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,South Kohala,Shallow_Kiholo Bay,103-Temp,11,,19.857264,-155.926094,10/16/2019,100,25,,12,,1,PLOB,20,2,1,,PCOM,2,80,1,,MPAT,2,50,2,,,,,,,,,,,,"MOCA: 40% BL(2), POEV: 2 cols blue flourescense, POLO: 1 col BL(2), 1 col PL(1), POME: 3/5 cols PL (1)"
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,North Kohala,Shallow_Lapakahi MLCD Subzone A,101-Temp,16,,20.17618,-155.90079,10/15/2019,100,15,,5,,1,PLOB,14,5,1,,,,,,,,,,,,,,,,,,,,,,"PAVA: 1 colony NB (0), POME: 1 colony BL 3, POEV:2 colonies blue flourescense, POGR: 1 colony 50% BL (3), "
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,North Kohala,Shallow_Waialea Bay MLCD,SWRF86-2018,14,,19.980717,-155.830367,10/15/2019,100,8,,20,,1,PLOB,8,20,2,,,,,,,,,,,,,,,,,,,,,,"MOPA: 2 colonies, 20% tissue BL(3), PAVA: 1 colony NB (0), POCO: tips BL (2), POEV: blue flourescense, POME: (<0.5% cover, 95% BL (3), "
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,South Kohala,South Kiholo_Luahinewai,104-Temp,10,,19.850463,-155.942105,10/16/2019,100,45,,8,,1,PLOB,35,5,1,,PMEA,5,20,1,,MPAT,2,50,2,,,,,,,,,,,,"MOFL: BL(1/2), POGR: outside quad, tips FL"
DAR_Hawaii_Rapid,DAR_01,DAR_Kona_NOAA_ESD,LK,Hawaii,MHI,North Kona,Touch of Gray,105-Temp,46,,19.7827,-156.05265,10/16/2019,100,10,,42,,1,PLOB,7,50,2,,PGRA,3,25,2,,,,,,,,,,,,,,,,,"POGR: 4 colonies total, 1 BL(2),  POLO: a few BL(2), high POME mortality in the area"
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,AF_1_ND,,7,,21.5835,-158.193,10/22/2019,78.5,,1,,1,,PLUT,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,AF_1_TJ,,10,,21.58371,-158.193,10/22/2019,78.5,,1,,1,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,AF_1_WD,,8,,21.58359,-158.193,10/22/2019,78.5,,1,,0,,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,AF_2_ND,,7,,21.58352,-158.193,10/22/2019,78.5,,1,,0,,PLUT,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,AF_2_TJ,,10,,21.58371,-158.193,10/22/2019,78.5,,1,,0,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,AF_2_WD,,8,,21.58361,-158.193,10/22/2019,78.5,,1,,2,,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,AF_3_ND,,7,,21.58351,-158.193,10/22/2019,78.5,,1,,1,,PLUT,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,AF_3_TJ,,10,,21.5837,-158.193,10/22/2019,78.5,,2,,1,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,AF_3_WD,,8,,21.58364,-158.193,10/22/2019,78.5,,1,,1,,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,AF_4_ND,,7,,21.58351,-158.193,10/22/2019,78.5,,1,,1,,PLUT,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,AF_4_TJ,,10,,21.58371,-158.194,10/22/2019,78.5,,2,,3,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,AF_4_WD,,8,,21.58361,-158.194,10/22/2019,78.5,,1,,1,,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,AF_5_ND,,7,,21.58351,-158.194,10/22/2019,78.5,,1,,1,,PLUT,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,AF_5_TJ,,10,,21.58368,-158.194,10/22/2019,78.5,,1,,4,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,AF_5_WD,,8,,21.58361,-158.194,10/22/2019,78.5,,1,,0,,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,CE1_1_ND,,7,,21.57952,-158.22,10/22/2019,78.5,,1,,1,,PMEA,,,,,PLUT,,,,,PLOB,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,CE1_1_TJ,,10,,21.57968,-158.22,10/22/2019,78.5,,2,,0,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,CE1_1_WD,,7,,21.57959,-158.22,10/22/2019,78.5,,2,,1,,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,CE1_2_ND,,7,,21.57956,-158.22,10/22/2019,78.5,,1,,0,,PMEA,,,,,PLUT,,,,,PLOB,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,CE1_2_TJ,,10,,21.57974,-158.22,10/22/2019,78.5,,1,,3,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,CE1_2_WD,,7,,21.57965,-158.22,10/22/2019,78.5,,1,,0,,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,CE1_3_ND,,7,,21.57958,-158.22,10/22/2019,78.5,,1,,1,,PMEA,,,,,PLUT,,,,,PLOB,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,CE1_3_TJ,,10,,21.57979,-158.22,10/22/2019,78.5,,1,,3,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,CE1_3_WD,,7,,21.57969,-158.22,10/22/2019,78.5,,1,,0,,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,CE1_4_ND,,7,,21.57972,-158.22,10/22/2019,78.5,,2,,1,,PMEA,,,,,PLUT,,,,,PLOB,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,CE1_4_TJ,,10,,21.57993,-158.22,10/22/2019,78.5,,1,,2,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,CE1_4_WD,,7,,21.5798,-158.22,10/22/2019,78.5,,1,,0,,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,CE1_5_ND,,7,,21.57986,-158.22,10/22/2019,78.5,,1,,0,,PMEA,,,,,PLUT,,,,,PLOB,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,CE1_5_TJ,,10,,21.58004,-158.221,10/22/2019,78.5,,1,,2,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,CE1_5_WD,,7,,21.5799,-158.22,10/22/2019,78.5,,1,,0,,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,CR1_1_ND,,7,,21.58277,-158.155,10/22/2019,78.5,,1,,1,,PLOB,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,CR1_1_TJ,,7,,21.58286,-158.155,10/22/2019,78.5,,1,,0,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,CR1_1_WD,,7,,21.58268,-158.155,10/22/2019,78.5,,1,,3,,PLOB,,,,,PLUT,,,,,PMEA,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,CR1_2_ND,,7,,21.5828,-158.155,10/22/2019,78.5,,1,,1,,PLOB,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,CR1_2_TJ,,7,,21.58286,-158.155,10/22/2019,78.5,,1,,1,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,CR1_2_WD,,7,,21.5827,-158.155,10/22/2019,78.5,,1,,2,,PLOB,,,,,PLUT,,,,,PMEA,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,CR1_3_ND,,7,,21.58281,-158.155,10/22/2019,78.5,,1,,1,,PLOB,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,CR1_3_TJ,,7,,21.58287,-158.155,10/22/2019,78.5,,2,,1,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,CR1_3_WD,,7,,21.58272,-158.155,10/22/2019,78.5,,1,,2,,PLOB,,,,,PLUT,,,,,PMEA,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,CR1_4_ND,,7,,21.58277,-158.155,10/22/2019,78.5,,1,,1,,PLOB,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,CR1_4_TJ,,7,,21.58285,-158.155,10/22/2019,78.5,,2,,1,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,CR1_4_WD,,7,,21.58268,-158.155,10/22/2019,78.5,,1,,3,,PLOB,,,,,PLUT,,,,,PMEA,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,CR1_5_ND,,7,,21.58276,-158.155,10/22/2019,78.5,,1,,1,,PLOB,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,CR1_5_TJ,,7,,21.58284,-158.155,10/22/2019,78.5,,1,,1,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,CR1_5_WD,,7,,21.58265,-158.155,10/22/2019,78.5,,1,,3,,PLOB,,,,,PLUT,,,,,PMEA,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,KF,Oahu,MHI,,DH1_1_KF,,8,,21.25356,-157.813,10/17/2019,78.5,,1,,1,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,DH1_1_ND,,13,,21.25365,-157.813,10/17/2019,78.5,,1,,2,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,DH1_1_TJ,,16,,21.2534,-157.813,10/17/2019,78.5,,1,,0,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,DH1_1_WD,,7,,21.25373,-157.813,10/17/2019,78.5,,1,,0,,PLOB,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,KF,Oahu,MHI,,DH1_2_KF,,8,,21.25355,-157.813,10/17/2019,78.5,,1,,0,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,DH1_2_ND,,13,,21.25368,-157.813,10/17/2019,78.5,,1,,4,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,DH1_2_TJ,,16,,21.25339,-157.813,10/17/2019,78.5,,1,,0,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,DH1_2_WD,,7,,21.2538,-157.813,10/17/2019,78.5,,1,,1,,PLOB,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,KF,Oahu,MHI,,DH1_3_KF,,8,,21.25352,-157.813,10/17/2019,78.5,,1,,1,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,DH1_3_ND,,13,,21.25363,-157.813,10/17/2019,78.5,,1,,1,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,DH1_3_TJ,,16,,21.25338,-157.813,10/17/2019,78.5,,1,,0,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,DH1_3_WD,,7,,21.25378,-157.813,10/17/2019,78.5,,1,,1,,PLOB,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,KF,Oahu,MHI,,DH1_4_KF,,8,,21.25353,-157.813,10/17/2019,78.5,,1,,0,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,DH1_4_ND,,13,,21.25363,-157.813,10/17/2019,78.5,,1,,4,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,DH1_4_TJ,,16,,21.25339,-157.813,10/17/2019,78.5,,1,,1,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,WD,Oahu,MHI,,DH1_4_WD,,7,,21.25376,-157.813,10/17/2019,78.5,,1,,0,,PLOB,,,,,PMEA,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,KF,Oahu,MHI,,DH1_5_KF,,8,,21.25354,-157.813,10/17/2019,78.5,,1,,0,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,ND,Oahu,MHI,,DH1_5_ND,,13,,21.25363,-157.813,10/17/2019,78.5,,1,,5,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
DAR_Oahu_Rapid,DAR_02,DAR_Oahu_AIS,TJ,Oahu,MHI,,DH1_5_TJ,,16,,21.25335,-157.813,10/17/2019,78.5,,1,,4,,PMEA,,,,,,,,,,,,,,,,,,,,,,,,,
