Dataset_Name,Organization_Name,Observer_Name,Island_Name,Location_Name,Site_Name,Depth_ft,Depth_m,DepthBin_5m,Longitude_DD,Latitude_DD,ObservationDate,AreaSurveyed_m2,PercentLiveCoralCover,PctCoralUnbleached,PctCoralPartialBleached,PctCoralFullyBleached,PctAffected,UploadDate,InstitutionDataOwner,SupplierOfDataset,OwnerOfRecordForDataset,DataAuthors,DataManager,Method_Type,RasterAddress_1km,Longitude_RAS_1km,Latitude_RAS_1km,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103201_LAN,22.14854074,8.250875218,"(5,10]",-156.8225516,20.85636898,2015/11/03,1737.8,85,88,6.5,5.5,12,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16340,-156.8249864,20.85952763,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103202_LAN,18.28113874,7.072091088,"(5,10]",-156.8216489,20.85513025,2015/11/03,1619.3,82.5,87,7,6,13,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16340,-156.8249864,20.85952763,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103203_LAN,14.72141437,5.9870871,"(5,10]",-156.8205166,20.85407488,2015/11/03,1756.1,85,81,12.5,6.5,19,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16575,-156.8249864,20.85050241,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103204_LAN,18.59669589,7.168272907,"(5,10]",-156.8193464,20.85290556,2015/11/03,1843.8,82.5,81.5,9.5,9,18.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16576,-156.8159724,20.85050241,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103205_LAN,28.78655885,10.27414314,"(10,15]",-156.8181394,20.85177997,2015/11/03,1747.9,77.5,91.5,3,5.5,8.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16576,-156.8159724,20.85050241,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104101_LAN,18.44041839,7.120639525,"(5,10]",-156.815069,20.8460765,2015/11/04,2143.2,92.5,88,3.5,8.5,12,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16576,-156.8159724,20.85050241,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104102_LAN,27.65247926,9.928475678,"(5,10]",-156.8156423,20.84792218,2015/11/04,2211.4,92.5,88,6,6,12,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16576,-156.8159724,20.85050241,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104103_LAN,27.05262339,9.745639609,"(5,10]",-156.8167122,20.84963125,2015/11/04,2233,90,91,3.5,5.5,9,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16576,-156.8159724,20.85050241,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104104_LAN,23.69218268,8.721377281,"(5,10]",-156.8179077,20.85125253,2015/11/04,2182.1,92.5,88,6,6,12,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16576,-156.8159724,20.85050241,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104105_LAN,28.63746811,10.22870028,"(10,15]",-156.8190393,20.85277507,2015/11/04,1948.4,92.5,88.5,3.5,8,11.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16576,-156.8159724,20.85050241,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104201_LAN,27.01782497,9.735033051,"(5,10]",-156.811779,20.79114614,2015/11/04,2412.7,70,65,15,20,35,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18221,-156.8159724,20.78732591,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104202_LAN,27.3851177,9.846983875,"(5,10]",-156.8104604,20.79276648,2015/11/04,2158.1,60,77.5,10,12.5,22.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17987,-156.8069584,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104203_LAN,26.15238241,9.471246159,"(5,10]",-156.8096358,20.79436252,2015/11/04,1813,72.5,80,10,10,20,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17987,-156.8069584,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104204_LAN,28.09679105,10.06390191,"(10,15]",-156.8088508,20.79581399,2015/11/04,1828.7,77.5,77.5,10,12.5,22.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17987,-156.8069584,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104205_LAN,28.36280802,10.14498388,"(10,15]",-156.8081476,20.79723412,2015/11/04,1672.7,57.5,62.5,17.5,20,37.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17987,-156.8069584,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104206_LAN,26.86443225,9.68827895,"(5,10]",-156.8076631,20.79873287,2015/11/04,1909.4,50,80,7.5,12.5,20,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17987,-156.8069584,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104207_LAN,26.69173099,9.635639606,"(5,10]",-156.8067994,20.80035263,2015/11/04,2148.5,62.5,77.5,12.5,10,22.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17987,-156.8069584,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104208_LAN,27.7446117,9.956557646,"(5,10]",-156.8058072,20.80198236,2015/11/04,2125.4,72.5,85,10,5,15,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17752,-156.8069584,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104210_LAN,22.94865559,8.494750224,"(5,10]",-156.8044387,20.80548434,2015/11/04,1941.2,60,86,10,4,14,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17752,-156.8069584,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104301_LAN,21.39344331,8.020721521,"(5,10]",-156.827915,20.76719438,2015/11/04,1934.1,72.5,82,6.5,11.5,18,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18690,-156.8249864,20.76927549,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104302_LAN,24.06442356,8.834836301,"(5,10]",-156.826998,20.76861962,2015/11/04,1971.1,42.5,88,4,8,12,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18690,-156.8249864,20.76927549,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104303_LAN,26.05288152,9.440918287,"(5,10]",-156.8263871,20.77033638,2015/11/04,2106.5,47.5,80,7.5,12.5,20,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18690,-156.8249864,20.76927549,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104304_LAN,26.50262552,9.578000258,"(5,10]",-156.82557,20.77202562,2015/11/04,2083.4,37.5,67.5,15,17.5,32.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18690,-156.8249864,20.76927549,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104305_LAN,25.95257387,9.410344516,"(5,10]",-156.8245988,20.77360023,2015/11/04,2024.2,52.5,77.5,12.5,10,22.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18690,-156.8249864,20.76927549,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104306_LAN,25.06900601,9.141033032,"(5,10]",-156.8237244,20.77518997,2015/11/04,2111.7,45,67.5,25,7.5,32.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18455,-156.8249864,20.7783007,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104307_LAN,25.99522479,9.423344516,"(5,10]",-156.8229237,20.77685787,2015/11/04,2162.1,60,65,25,10,35,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18455,-156.8249864,20.7783007,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104308_LAN,25.2566593,9.198229755,"(5,10]",-156.8220866,20.77861143,2015/11/04,2177.9,35,60,27.5,12.5,40,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18455,-156.8249864,20.7783007,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104309_LAN,28.28046431,10.11988552,"(10,15]",-156.8208872,20.78019019,2015/11/04,2189.6,22.5,57.5,27.5,15,42.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18455,-156.8249864,20.7783007,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104310_LAN,24.07206989,8.837166902,"(5,10]",-156.8197491,20.78166144,2015/11/04,1900.4,45,75,15,10,25,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18456,-156.8159724,20.7783007,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104401_LAN,22.21284654,8.270475625,"(5,10]",-156.8373705,20.75929541,2015/11/04,2547.3,32.5,72.5,5,22.5,27.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18924,-156.8340004,20.76025027,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104402_LAN,25.42382079,9.249180577,"(5,10]",-156.8353447,20.75995105,2015/11/04,2232.9,35,67.5,27.5,5,32.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18924,-156.8340004,20.76025027,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104403_LAN,29.91663535,10.61859045,"(10,15]",-156.833889,20.76121486,2015/11/04,2086.1,30,75,10,15,25,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18924,-156.8340004,20.76025027,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104404_LAN,27.35220173,9.836951087,"(5,10]",-156.8326005,20.76275266,2015/11/04,2376.3,25,72.5,22.5,5,27.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18924,-156.8340004,20.76025027,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104405_LAN,30.22723947,10.71326259,"(10,15]",-156.831091,20.76398858,2015/11/04,2249.2,22.5,72.5,5,22.5,27.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18924,-156.8340004,20.76025027,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104406_LAN,26.55549545,9.594115013,"(5,10]",-156.8295967,20.76516068,2015/11/04,2080.9,45,67.5,12.5,20,32.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18689,-156.8340004,20.76927549,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104407_LAN,27.75601397,9.960033058,"(5,10]",-156.8282997,20.76638008,2015/11/04,1979.3,40,82.5,7.5,10,17.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18690,-156.8249864,20.76927549,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104408_LAN,28.21129775,10.09880355,"(10,15]",-156.8272878,20.76774318,2015/11/04,2061.1,42.5,87.5,7.5,5,12.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18690,-156.8249864,20.76927549,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104409_LAN,29.96385794,10.6329839,"(10,15]",-156.8264829,20.76942917,2015/11/04,2180.2,40,87.5,5,7.5,12.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18690,-156.8249864,20.76927549,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151104410_LAN,27.11964216,9.76606693,"(5,10]",-156.8259024,20.77125034,2015/11/04,2252.6,27.5,85,7.5,7.5,15,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18690,-156.8249864,20.76927549,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105101_MAI,25.47529232,9.264869099,"(5,10]",-156.6246654,20.80740913,2015/11/05,2475.8,40,32.5,37.5,30,67.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17772,-156.6266784,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105102_MAI,27.09242374,9.757770756,"(5,10]",-156.623292,20.80568458,2015/11/05,2407.3,47.5,45,32.5,22.5,55,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17772,-156.6266784,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105103_MAI,26.81672561,9.673737966,"(5,10]",-156.6218276,20.80422689,2015/11/05,2222.2,55,50,30,20,50,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17773,-156.6176644,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105104_MAI,22.86159232,8.468213339,"(5,10]",-156.6199406,20.80307365,2015/11/05,2473.4,70,67.5,20,12.5,32.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17773,-156.6176644,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105105_MAI,29.63991533,10.53424619,"(10,15]",-156.6182311,20.80207324,2015/11/05,2451.5,75,65,25,10,35,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17773,-156.6176644,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105106_MAI,27.37882494,9.845065842,"(5,10]",-156.6159322,20.80167151,2015/11/05,2502.6,72.5,60,30,10,40,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17773,-156.6176644,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105107_MAI,29.54310365,10.50473799,"(10,15]",-156.6137225,20.80241226,2015/11/05,2585.3,62.5,62.5,25,12.5,37.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17773,-156.6176644,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105108_MAI,30.0846036,10.66978718,"(10,15]",-156.6112765,20.80295826,2015/11/05,2862.2,62.5,60,25,15,40,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17774,-156.6086504,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105109_MAI,31.60094331,11.13196752,"(10,15]",-156.6091166,20.80430304,2015/11/05,2599.7,62.5,52.5,30,17.5,47.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17774,-156.6086504,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105110_MAI,27.81950001,9.979383603,"(5,10]",-156.6067865,20.80464296,2015/11/05,2538.9,60,50,30,20,50,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17774,-156.6086504,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105201_MAI,21.60750467,8.085967423,"(5,10]",-156.6011355,20.80327821,2015/11/05,2569.7,25,47.5,35,17.5,52.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17775,-156.5996364,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105202_MAI,23.93383537,8.795033021,"(5,10]",-156.5991188,20.80185584,2015/11/05,2626.1,5.1,22.5,27.5,50,77.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,17775,-156.5996364,20.80537634,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105203_MAI,23.6733044,8.715623181,"(5,10]",-156.5968112,20.80073609,2015/11/05,2772,37.5,30,50,20,70,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18010,-156.5996364,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105204_MAI,22.53565968,8.36886907,"(5,10]",-156.5947256,20.79936905,2015/11/05,2545.8,30,25,45,30,75,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18011,-156.5906224,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105205_MAI,21.59233751,8.081344473,"(5,10]",-156.5929568,20.7978396,2015/11/05,2490,12.5,37.5,37.5,25,62.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18011,-156.5906224,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105206_MAI,26.167442,9.475836322,"(5,10]",-156.5918106,20.79613377,2015/11/05,2001.6,20,25,40,35,75,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18011,-156.5906224,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105207_MAI,27.68996689,9.939901908,"(5,10]",-156.5903043,20.79502955,2015/11/05,2072.6,12.5,45,32.5,22.5,55,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18011,-156.5906224,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105208_MAI,25.3803631,9.235934673,"(5,10]",-156.5887069,20.79408342,2015/11/05,2000.9,12.5,27.5,45,27.5,72.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18011,-156.5906224,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105209_MAI,24.83090308,9.068459259,"(5,10]",-156.5873787,20.79303702,2015/11/05,1655.7,7.5,47.5,32.5,20,52.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18011,-156.5906224,20.79635113,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Maui,,20151105210_MAI,28.95171602,10.32448304,"(10,15]",-156.5864472,20.79207378,2015/11/05,1293,15,30,45,25,70,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,18011,-156.5906224,20.79635113,,,,,,,
