,Island,Depth_ft,Taxon,SST,Wave_energy
47,Oahu,7.0,PLOB,2.550188784,
48,Oahu,7.0,PMEA,2.550188784,
49,Oahu,10.0,PMEA,2.550188784,
50,Oahu,7.0,PLOB,2.550188784,
51,Oahu,7.0,PMEA,2.550188784,
52,Oahu,10.0,PMEA,2.550188784,
53,Oahu,7.0,PLOB,2.550188784,
54,Oahu,7.0,PMEA,2.550188784,
55,Oahu,10.0,PMEA,2.550188784,
56,Oahu,7.0,PLOB,2.550188784,
57,Oahu,7.0,PLOB,2.537924569,97345.5
58,Oahu,7.0,PMEA,2.537924569,97345.5
59,Oahu,7.0,PLOB,2.537924569,97345.5
60,Oahu,7.0,PLOB,2.537924569,97345.5
61,Oahu,7.0,PMEA,2.537924569,97345.5
62,Oahu,7.0,PLOB,2.537924569,97345.5
63,Oahu,7.0,PLOB,2.537924569,97345.5
64,Oahu,7.0,PMEA,2.537924569,97345.5
65,Oahu,7.0,PLOB,2.537924569,97345.5
66,Oahu,7.0,PLOB,2.537924569,97345.5
67,Oahu,7.0,PMEA,2.537924569,97345.5
68,Oahu,7.0,PLOB,2.537924569,97345.5
69,Oahu,7.0,PLOB,2.537924569,97345.5
70,Oahu,7.0,PMEA,2.537924569,97345.5
71,Oahu,7.0,PLOB,2.537924569,97345.5
72,Oahu,8.0,PMEA,2.558301782,16005.0
73,Oahu,13.0,PMEA,2.558301782,16005.0
74,Oahu,16.0,PMEA,2.558301782,16005.0
75,Oahu,7.0,PLOB,2.558301782,16005.0
76,Oahu,8.0,PMEA,2.558301782,16005.0
77,Oahu,13.0,PMEA,2.558301782,16005.0
78,Oahu,16.0,PMEA,2.558301782,16005.0
79,Oahu,7.0,PLOB,2.558301782,16005.0
80,Oahu,8.0,PMEA,2.558301782,16005.0
81,Oahu,13.0,PMEA,2.558301782,16005.0
82,Oahu,16.0,PMEA,2.558301782,16005.0
83,Oahu,7.0,PLOB,2.558301782,16005.0
84,Oahu,8.0,PMEA,2.558301782,16005.0
85,Oahu,13.0,PMEA,2.558301782,16005.0
86,Oahu,16.0,PMEA,2.558301782,16005.0
87,Oahu,7.0,PLOB,2.558301782,16005.0
88,Oahu,8.0,PMEA,2.558301782,16005.0
89,Oahu,13.0,PMEA,2.558301782,16005.0
90,Oahu,16.0,PMEA,2.558301782,16005.0
91,Oahu,7.0,PLOB,2.558301782,16005.0
92,Oahu,16.0,PLUT,2.558301782,16005.0
93,Oahu,7.0,PMEA,2.558301782,16005.0
94,Oahu,16.0,PMEA,2.558301782,16005.0
95,Oahu,7.0,PMEA,2.558301782,16005.0
96,Oahu,16.0,PLUT,2.558301782,16005.0
97,Oahu,7.0,PMEA,2.558301782,16005.0
98,Oahu,16.0,PMEA,2.558301782,16005.0
99,Oahu,7.0,PMEA,2.558301782,16005.0
100,Oahu,16.0,PLUT,2.558301782,16005.0
101,Oahu,7.0,PMEA,2.558301782,16005.0
102,Oahu,16.0,PMEA,2.558301782,16005.0
103,Oahu,7.0,PMEA,2.558301782,16005.0
104,Oahu,16.0,PLUT,2.558301782,16005.0
105,Oahu,7.0,PMEA,2.558301782,16005.0
106,Oahu,16.0,PMEA,2.558301782,16005.0
107,Oahu,7.0,PMEA,2.558301782,16005.0
108,Oahu,16.0,PLUT,2.558301782,16005.0
109,Oahu,7.0,PMEA,2.558301782,16005.0
110,Oahu,16.0,PMEA,2.558301782,16005.0
111,Oahu,7.0,PMEA,2.558301782,16005.0
112,Oahu,8.0,PMEA,2.558301782,16005.0
113,Oahu,5.0,PLOB,2.558301782,16005.0
114,Oahu,3.0,PMEA,2.558301782,16005.0
115,Oahu,7.0,PMEA,2.558301782,16005.0
116,Oahu,8.0,PMEA,2.558301782,16005.0
117,Oahu,5.0,PLOB,2.558301782,16005.0
118,Oahu,3.0,PMEA,2.558301782,16005.0
119,Oahu,7.0,PMEA,2.558301782,16005.0
120,Oahu,8.0,PMEA,2.558301782,16005.0
121,Oahu,5.0,PLOB,2.558301782,16005.0
122,Oahu,3.0,PMEA,2.558301782,16005.0
123,Oahu,7.0,PMEA,2.558301782,16005.0
124,Oahu,8.0,PMEA,2.558301782,16005.0
125,Oahu,5.0,PLOB,2.558301782,16005.0
126,Oahu,3.0,PMEA,2.558301782,16005.0
127,Oahu,7.0,PMEA,2.558301782,16005.0
128,Oahu,8.0,PMEA,2.558301782,16005.0
129,Oahu,5.0,PLOB,2.558301782,16005.0
130,Oahu,3.0,PMEA,2.558301782,16005.0
131,Oahu,7.0,PMEA,2.558301782,16005.0
132,Oahu,2.0,PMEA,2.558301782,16005.0
133,Oahu,2.0,PLOB,2.558301782,16005.0
134,Oahu,2.0,PMEA,2.558301782,16005.0
135,Oahu,3.0,PMEA,2.558301782,16005.0
136,Oahu,2.0,PMEA,2.558301782,16005.0
137,Oahu,2.0,PLOB,2.558301782,16005.0
138,Oahu,2.0,PMEA,2.558301782,16005.0
139,Oahu,3.0,PMEA,2.558301782,16005.0
140,Oahu,2.0,PMEA,2.558301782,16005.0
141,Oahu,2.0,PLOB,2.558301782,16005.0
142,Oahu,2.0,PMEA,2.558301782,16005.0
143,Oahu,3.0,PMEA,2.558301782,16005.0
144,Oahu,2.0,PMEA,2.558301782,16005.0
145,Oahu,2.0,PLOB,2.558301782,16005.0
146,Oahu,2.0,PMEA,2.558301782,16005.0
147,Oahu,3.0,PMEA,2.558301782,16005.0
148,Oahu,2.0,PMEA,2.558301782,16005.0
149,Oahu,2.0,PLOB,2.558301782,16005.0
150,Oahu,2.0,PMEA,2.558301782,16005.0
151,Oahu,3.0,PMEA,2.558301782,16005.0
152,Oahu,20.0,PMEA,2.557877361,34121.41
153,Oahu,16.0,PMEA,2.557877361,34121.41
154,Oahu,20.0,PMEA,2.557877361,34121.41
155,Oahu,16.0,PMEA,2.557877361,34121.41
156,Oahu,20.0,PMEA,2.557877361,34121.41
157,Oahu,16.0,PMEA,2.557877361,34121.41
158,Oahu,20.0,PMEA,2.557877361,34121.41
159,Oahu,16.0,PMEA,2.557877361,34121.41
160,Oahu,20.0,PMEA,2.557877361,34121.41
161,Oahu,16.0,PMEA,2.557877361,34121.41
162,Oahu,16.0,PMEA,2.557877361,34121.41
163,Oahu,13.0,PMEA,2.557877361,34121.41
164,Oahu,16.0,PMEA,2.557877361,34121.41
165,Oahu,13.0,PMEA,2.557877361,34121.41
166,Oahu,16.0,PMEA,2.557877361,34121.41
167,Oahu,13.0,PMEA,2.557877361,34121.41
168,Oahu,16.0,PMEA,2.557877361,34121.41
169,Oahu,13.0,PMEA,2.557877361,34121.41
170,Oahu,16.0,PMEA,2.557877361,34121.41
171,Oahu,13.0,PMEA,2.557877361,34121.41
172,Oahu,7.0,PLOB,2.530188542,84059.5
173,Oahu,5.0,PLOB,2.530188542,84059.5
174,Oahu,5.0,PLOB,2.530188542,84059.5
175,Oahu,7.0,PLOB,2.530188542,84059.5
176,Oahu,5.0,PLOB,2.530188542,84059.5
177,Oahu,5.0,PLOB,2.530188542,84059.5
178,Oahu,7.0,PLOB,2.530188542,84059.5
179,Oahu,5.0,PLOB,2.530188542,84059.5
180,Oahu,5.0,PLOB,2.530188542,84059.5
181,Oahu,7.0,PLOB,2.530188542,84059.5
182,Oahu,5.0,PLOB,2.530188542,84059.5
183,Oahu,5.0,PLOB,2.530188542,84059.5
184,Oahu,7.0,PLOB,2.530188542,84059.5
185,Oahu,5.0,PLOB,2.530188542,84059.5
186,Oahu,5.0,PLOB,2.530188542,84059.5
187,Oahu,33.0,PLOB,2.571509487,51468.4
188,Oahu,16.0,PLOB,2.571509487,51468.4
189,Oahu,16.0,PLOB,2.571509487,51468.4
190,Oahu,33.0,PLOB,2.571509487,51468.4
191,Oahu,16.0,PLOB,2.571509487,51468.4
192,Oahu,16.0,PLOB,2.571509487,51468.4
193,Oahu,33.0,PLOB,2.571509487,51468.4
194,Oahu,16.0,PLOB,2.571509487,51468.4
195,Oahu,16.0,PLOB,2.571509487,51468.4
196,Oahu,33.0,PLOB,2.571509487,51468.4
197,Oahu,16.0,PLOB,2.571509487,51468.4
198,Oahu,16.0,PLOB,2.571509487,51468.4
199,Oahu,33.0,PLOB,2.571509487,51468.4
200,Oahu,16.0,PLOB,2.571509487,51468.4
201,Oahu,16.0,PLOB,2.571509487,51468.4
202,Oahu,33.0,PLOB,2.571509487,51468.4
203,Oahu,23.0,PLOB,2.571509487,51468.4
204,Oahu,26.0,PLOB,2.571509487,51468.4
205,Oahu,33.0,PLOB,2.571509487,51468.4
206,Oahu,23.0,PLOB,2.571509487,51468.4
207,Oahu,26.0,PLOB,2.571509487,51468.4
208,Oahu,33.0,PLOB,2.571509487,18993.82857
209,Oahu,23.0,PLOB,2.571509487,18993.82857
210,Oahu,26.0,PLOB,2.571509487,18993.82857
211,Oahu,33.0,PLOB,2.571509487,18993.82857
212,Oahu,23.0,PLOB,2.571509487,18993.82857
213,Oahu,26.0,PLOB,2.571509487,18993.82857
214,Oahu,33.0,PLOB,2.571509487,18993.82857
215,Oahu,23.0,PLOB,2.571509487,18993.82857
216,Oahu,26.0,PLOB,2.571509487,18993.82857
217,Oahu,33.0,PLOB,2.571509487,18993.82857
218,Oahu,20.0,PLOB,2.571509487,18993.82857
219,Oahu,20.0,PLOB,2.571509487,18993.82857
220,Oahu,33.0,PLOB,2.571509487,18993.82857
221,Oahu,20.0,PLOB,2.571509487,18993.82857
222,Oahu,20.0,PLOB,2.571509487,18993.82857
223,Oahu,33.0,PLOB,2.571509487,18993.82857
224,Oahu,20.0,PLOB,2.571509487,18993.82857
225,Oahu,20.0,PLOB,2.571509487,18993.82857
226,Oahu,33.0,PLOB,2.571509487,18993.82857
227,Oahu,20.0,PLOB,2.571509487,18993.82857
228,Oahu,20.0,PLOB,2.571509487,18993.82857
229,Oahu,33.0,PLOB,2.571509487,18993.82857
230,Oahu,20.0,PLOB,2.571509487,18993.82857
231,Oahu,20.0,PLOB,2.571509487,18993.82857
232,Oahu,3.0,PLOB,2.590817577,6424.0
233,Oahu,7.0,PLOB,2.590817577,6424.0
234,Oahu,3.0,PLOB,2.590817577,6424.0
235,Oahu,7.0,PLOB,2.590817577,6424.0
236,Oahu,3.0,PLOB,2.590817577,6424.0
237,Oahu,7.0,PLOB,2.590817577,6424.0
238,Oahu,3.0,PLOB,2.590817577,6424.0
239,Oahu,7.0,PLOB,2.590817577,6424.0
240,Oahu,3.0,PLOB,2.590817577,6424.0
241,Oahu,7.0,PLOB,2.590817577,6424.0
242,Oahu,3.0,PLUT,2.55283021,13808.87778
243,Oahu,2.0,PLUT,2.55283021,13808.87778
244,Oahu,3.0,PLOB,2.55283021,13808.87778
245,Oahu,3.0,PLUT,2.55283021,13808.87778
246,Oahu,2.0,PLUT,2.55283021,13808.87778
247,Oahu,3.0,PLOB,2.55283021,13808.87778
248,Oahu,3.0,PLUT,2.55283021,13808.87778
249,Oahu,2.0,PLUT,2.55283021,13808.87778
250,Oahu,3.0,PLOB,2.55283021,13808.87778
251,Oahu,3.0,PLUT,2.55283021,13808.87778
252,Oahu,2.0,PLUT,2.55283021,13808.87778
253,Oahu,3.0,PLOB,2.55283021,13808.87778
254,Oahu,3.0,PLUT,2.55283021,13808.87778
255,Oahu,2.0,PLUT,2.55283021,13808.87778
256,Oahu,3.0,PLOB,2.55283021,13808.87778
257,Oahu,3.0,PLUT,2.55283021,13808.87778
258,Oahu,2.0,PMEA,2.55283021,13808.87778
259,Oahu,3.0,PLOB,2.55283021,13808.87778
260,Oahu,3.0,PLUT,2.55283021,13808.87778
261,Oahu,2.0,PMEA,2.55283021,13808.87778
262,Oahu,3.0,PLOB,2.55283021,13808.87778
263,Oahu,3.0,PLUT,2.55283021,13808.87778
264,Oahu,2.0,PMEA,2.55283021,13808.87778
265,Oahu,3.0,PLOB,2.55283021,13808.87778
266,Oahu,3.0,PLUT,2.55283021,13808.87778
267,Oahu,2.0,PMEA,2.55283021,13808.87778
268,Oahu,3.0,PLOB,2.55283021,13808.87778
269,Oahu,3.0,PLUT,2.55283021,13808.87778
270,Oahu,2.0,PMEA,2.55283021,13808.87778
271,Oahu,3.0,PLOB,2.55283021,13808.87778
272,Oahu,5.0,MCAP,2.55283021,13808.87778
273,Oahu,3.0,PMEA,2.55283021,13808.87778
274,Oahu,3.0,PLOB,2.55283021,13808.87778
275,Oahu,5.0,MCAP,2.55283021,13808.87778
276,Oahu,3.0,PMEA,2.55283021,13808.87778
277,Oahu,3.0,PLOB,2.55283021,13808.87778
278,Oahu,5.0,MCAP,2.55283021,13808.87778
279,Oahu,3.0,PMEA,2.55283021,13808.87778
280,Oahu,3.0,PLOB,2.55283021,13808.87778
281,Oahu,5.0,MCAP,2.55283021,13808.87778
282,Oahu,3.0,PMEA,2.55283021,13808.87778
283,Oahu,3.0,PLOB,2.55283021,13808.87778
284,Oahu,5.0,MCAP,2.55283021,13808.87778
285,Oahu,3.0,PMEA,2.55283021,13808.87778
286,Oahu,3.0,PLOB,2.55283021,13808.87778
287,Oahu,3.0,PLOB,2.589245274,6405.5
288,Oahu,2.0,PLOB,2.589245274,6405.5
289,Oahu,3.0,PLOB,2.589245274,6405.5
290,Oahu,2.0,PLOB,2.589245274,6405.5
291,Oahu,3.0,PLOB,2.589245274,6405.5
292,Oahu,2.0,PLOB,2.589245274,6405.5
293,Oahu,3.0,PLOB,2.589245274,6405.5
294,Oahu,2.0,PLOB,2.589245274,6405.5
295,Oahu,3.0,PLOB,2.589245274,6405.5
296,Oahu,2.0,PLOB,2.589245274,6405.5
297,Oahu,3.0,PLOB,2.589245274,6405.5
298,Oahu,2.0,PLOB,2.589245274,6405.5
299,Oahu,3.0,PLOB,2.589245274,6405.5
300,Oahu,2.0,PLOB,2.589245274,6405.5
301,Oahu,3.0,PLOB,2.589245274,6405.5
302,Oahu,2.0,PLOB,2.589245274,6405.5
303,Oahu,3.0,PLOB,2.589245274,6405.5
304,Oahu,2.0,PLOB,2.589245274,6405.5
305,Oahu,3.0,PLOB,2.589245274,6405.5
306,Oahu,2.0,PLOB,2.589245274,6405.5
307,Oahu,3.0,PLOB,2.589245274,6405.5
308,Oahu,2.0,PLOB,2.589245274,6405.5
309,Oahu,3.0,PLOB,2.589245274,6405.5
310,Oahu,2.0,PLOB,2.589245274,6405.5
311,Oahu,3.0,PLOB,2.589245274,6405.5
312,Oahu,2.0,PLOB,2.589245274,6405.5
313,Oahu,3.0,PLOB,2.589245274,6405.5
314,Oahu,2.0,PLOB,2.589245274,6405.5
315,Oahu,3.0,PLOB,2.589245274,6405.5
316,Oahu,2.0,PLOB,2.589245274,6405.5
317,Oahu,3.0,PLOB,2.589245274,6405.5
318,Oahu,2.0,,2.589245274,6405.5
319,Oahu,3.0,PLOB,2.589245274,6405.5
320,Oahu,2.0,,2.589245274,6405.5
321,Oahu,3.0,PLOB,2.589245274,6405.5
322,Oahu,2.0,,2.589245274,6405.5
323,Oahu,3.0,PLOB,2.589245274,6405.5
324,Oahu,2.0,,2.589245274,6405.5
325,Oahu,3.0,PLOB,2.589245274,6405.5
326,Oahu,2.0,,2.589245274,6405.5
327,Oahu,3.0,PLOB,2.589245274,6405.5
328,Oahu,2.0,PLOB,2.589245274,6405.5
329,Oahu,3.0,PLOB,2.589245274,6405.5
330,Oahu,2.0,PLOB,2.589245274,6405.5
331,Oahu,3.0,PLOB,2.589245274,6405.5
332,Oahu,2.0,PLOB,2.589245274,6405.5
333,Oahu,3.0,PLOB,2.589245274,6405.5
334,Oahu,2.0,PLOB,2.589245274,6405.5
335,Oahu,3.0,PLOB,2.589245274,6405.5
336,Oahu,2.0,PLOB,2.589245274,6405.5
337,Oahu,10.0,,2.525660317,49585.0
338,Oahu,10.0,PMEA,2.525660317,49585.0
339,Oahu,11.0,PLOB,2.525660317,49585.0
340,Oahu,10.0,,2.525660317,49585.0
341,Oahu,10.0,PMEA,2.525660317,49585.0
342,Oahu,11.0,PLOB,2.525660317,49585.0
343,Oahu,10.0,,2.525660317,49585.0
344,Oahu,10.0,PMEA,2.525660317,49585.0
345,Oahu,11.0,PLOB,2.525660317,49585.0
346,Oahu,10.0,,2.525660317,49585.0
347,Oahu,10.0,PMEA,2.525660317,49585.0
348,Oahu,11.0,PLOB,2.525660317,49585.0
349,Oahu,10.0,,2.525660317,49585.0
350,Oahu,10.0,PMEA,2.525660317,49585.0
351,Oahu,11.0,PLOB,2.525660317,49585.0
352,Oahu,8.0,PMEA,2.525660317,49585.0
353,Oahu,8.0,,2.525660317,49585.0
354,Oahu,8.0,PMEA,2.525660317,49585.0
355,Oahu,8.0,PMEA,2.525660317,49585.0
356,Oahu,8.0,,2.525660317,49585.0
357,Oahu,8.0,PMEA,2.525660317,49585.0
358,Oahu,8.0,PMEA,2.525660317,49585.0
359,Oahu,8.0,,2.525660317,49585.0
360,Oahu,8.0,PMEA,2.525660317,49585.0
361,Oahu,8.0,PMEA,2.525660317,49585.0
362,Oahu,8.0,,2.525660317,49585.0
363,Oahu,8.0,PMEA,2.525660317,49585.0
364,Oahu,8.0,PMEA,2.525660317,49585.0
365,Oahu,8.0,,2.525660317,49585.0
366,Oahu,8.0,PMEA,2.525660317,49585.0
367,Oahu,3.0,PCOM,,
368,Oahu,3.0,PCOM,,
369,Oahu,3.0,PCOM,,
370,Oahu,3.0,PCOM,2.493962306,
371,Oahu,3.0,PCOM,2.493962306,
372,Oahu,5.0,PCOM,,
373,Oahu,5.0,PCOM,,
374,Oahu,5.0,PCOM,,
375,Oahu,5.0,PCOM,2.493962306,
376,Oahu,5.0,PCOM,2.493962306,
377,Oahu,8.0,PCOM,,
378,Oahu,8.0,PCOM,,
379,Oahu,8.0,PCOM,,
380,Oahu,8.0,PCOM,2.493962306,
381,Oahu,8.0,PCOM,2.493962306,
382,Oahu,10.0,PMEA,2.557877361,15275.0
383,Oahu,10.0,PMEA,2.557877361,15275.0
384,Oahu,10.0,PMEA,2.557877361,15275.0
385,Oahu,10.0,PMEA,2.557877361,15275.0
386,Oahu,10.0,PMEA,2.557877361,15275.0
387,Oahu,10.0,PMEA,2.557877361,15275.0
388,Oahu,10.0,PMEA,2.557877361,15275.0
389,Oahu,10.0,PMEA,2.557877361,15275.0
390,Oahu,10.0,PMEA,2.557877361,15275.0
391,Oahu,10.0,PMEA,2.557877361,15275.0
392,Oahu,10.0,PMEA,2.537767308,12289.3
393,Oahu,7.0,PMEA,2.537767308,12289.3
394,Oahu,11.0,PMEA,2.537767308,12289.3
395,Oahu,10.0,PMEA,2.537767308,12289.3
396,Oahu,7.0,PMEA,2.537767308,12289.3
397,Oahu,11.0,PMEA,2.537767308,12289.3
398,Oahu,10.0,PMEA,2.537767308,12289.3
399,Oahu,7.0,PMEA,2.537767308,12289.3
400,Oahu,11.0,PMEA,2.537767308,12289.3
401,Oahu,10.0,PMEA,2.537767308,12289.3
402,Oahu,7.0,PMEA,2.537767308,12289.3
403,Oahu,11.0,PMEA,2.537767308,12289.3
404,Oahu,10.0,PMEA,2.537767308,12289.3
405,Oahu,7.0,PMEA,2.537767308,12289.3
406,Oahu,11.0,PMEA,2.537767308,12289.3
407,Oahu,7.0,PCOM,2.496027773,
408,Oahu,8.0,PCOM,2.496027773,
409,Oahu,7.0,PCOM,2.496027773,
410,Oahu,7.0,PCOM,2.496027773,
411,Oahu,8.0,PCOM,2.496027773,
412,Oahu,7.0,PCOM,2.496027773,
413,Oahu,7.0,PCOM,2.496027773,
414,Oahu,8.0,PCOM,2.496027773,
415,Oahu,7.0,PCOM,2.496027773,
416,Oahu,7.0,PCOM,2.496027773,
417,Oahu,8.0,PCOM,2.496027773,
418,Oahu,7.0,PCOM,2.496027773,
419,Oahu,7.0,PCOM,2.496027773,
420,Oahu,8.0,PCOM,2.496027773,
421,Oahu,7.0,PCOM,2.496027773,
422,Oahu,7.0,PMEA,2.537924569,97345.5
423,Oahu,10.0,PMEA,2.537924569,97345.5
424,Oahu,10.0,PMEA,2.537924569,97345.5
425,Oahu,7.0,PMEA,2.537924569,97345.5
426,Oahu,10.0,PMEA,2.537924569,97345.5
427,Oahu,10.0,PMEA,2.537924569,97345.5
428,Oahu,7.0,PMEA,2.537924569,97345.5
429,Oahu,10.0,PMEA,2.537924569,97345.5
430,Oahu,10.0,PMEA,2.537924569,97345.5
431,Oahu,7.0,PMEA,2.537924569,97345.5
432,Oahu,10.0,PMEA,2.537924569,97345.5
433,Oahu,10.0,PMEA,2.537924569,97345.5
434,Oahu,7.0,PMEA,2.537924569,97345.5
435,Oahu,10.0,PMEA,2.537924569,97345.5
436,Oahu,10.0,PMEA,2.537924569,97345.5
437,Oahu,7.0,PCOM,2.496415053,
438,Oahu,7.0,PCOM,2.496415053,
439,Oahu,7.0,PCOM,2.496415053,
440,Oahu,7.0,PCOM,2.496415053,
441,Oahu,7.0,PCOM,2.496415053,
442,Oahu,5.0,MCAP,2.496415053,
443,Oahu,3.0,PCOM,2.496415053,
444,Oahu,5.0,MCAP,2.496415053,
445,Oahu,3.0,PCOM,2.496415053,
446,Oahu,5.0,MCAP,2.496415053,
447,Oahu,3.0,PCOM,2.496415053,
448,Oahu,5.0,MCAP,2.496415053,
449,Oahu,3.0,PCOM,2.496415053,
450,Oahu,5.0,MCAP,2.496415053,
451,Oahu,3.0,PCOM,2.496415053,
452,Oahu,3.0,PCOM,2.493962306,
453,Oahu,3.0,PCOM,2.493962306,
454,Oahu,3.0,PCOM,2.493962306,
455,Oahu,3.0,PCOM,2.493962306,
456,Oahu,3.0,PCOM,2.493962306,
457,Oahu,3.0,PCOM,2.493962306,
458,Oahu,3.0,PCOM,2.493962306,
459,Oahu,3.0,PCOM,2.493962306,
460,Oahu,3.0,PCOM,2.493962306,
461,Oahu,3.0,PCOM,2.493962306,
462,Oahu,8.0,PCOM,2.493962306,
463,Oahu,8.0,PCOM,2.493962306,
464,Oahu,8.0,PCOM,2.493962306,
465,Oahu,8.0,PCOM,2.493962306,
466,Oahu,8.0,PCOM,2.493962306,
467,Oahu,5.0,PCOM,2.493962306,
468,Oahu,5.0,PCOM,2.493962306,
469,Oahu,5.0,PCOM,,
470,Oahu,5.0,PCOM,,
471,Oahu,5.0,PCOM,,
472,Oahu,7.0,MCAP,2.493962306,
473,Oahu,7.0,MCAP,2.493962306,
474,Oahu,7.0,MCAP,2.493962306,
475,Oahu,7.0,MCAP,2.493962306,
476,Oahu,7.0,MCAP,,
477,Oahu,8.0,MCAP,2.493962306,
478,Oahu,8.0,MCAP,2.493962306,
479,Oahu,8.0,MCAP,2.493962306,
480,Oahu,8.0,MCAP,,
481,Oahu,8.0,MCAP,,
482,Oahu,11.0,PLOB,2.589245274,6405.5
483,Oahu,3.0,PLOB,2.589245274,6405.5
484,Oahu,11.0,PLOB,2.589245274,6405.5
485,Oahu,3.0,PLOB,2.589245274,6405.5
486,Oahu,11.0,PLOB,2.589245274,6405.5
487,Oahu,3.0,PLOB,2.589245274,6405.5
488,Oahu,11.0,PLOB,2.589245274,6405.5
489,Oahu,3.0,PLOB,2.589245274,6405.5
490,Oahu,11.0,PLOB,2.589245274,6405.5
491,Oahu,3.0,PLOB,2.589245274,6405.5
492,Oahu,11.0,PLOB,2.589245274,6405.5
493,Oahu,11.0,PLOB,2.589245274,6405.5
494,Oahu,11.0,PMEA,2.589245274,6405.5
495,Oahu,11.0,PLOB,2.589245274,6405.5
496,Oahu,11.0,PLOB,2.589245274,6405.5
497,Oahu,11.0,PMEA,2.589245274,6405.5
498,Oahu,11.0,PLOB,2.589245274,6405.5
499,Oahu,11.0,PLOB,2.589245274,6405.5
500,Oahu,11.0,PMEA,2.589245274,6405.5
501,Oahu,11.0,PLOB,2.589245274,6405.5
502,Oahu,11.0,PLOB,2.589245274,6405.5
503,Oahu,11.0,PMEA,2.589245274,6405.5
504,Oahu,11.0,PLOB,2.589245274,6405.5
505,Oahu,11.0,PLOB,2.589245274,6405.5
506,Oahu,11.0,PMEA,2.558301782,16005.0
507,Oahu,8.0,PMEA,2.537767308,20896.0
508,Oahu,13.0,PMEA,2.537767308,20896.0
509,Oahu,7.0,PMEA,2.537767308,20896.0
510,Oahu,8.0,PMEA,2.537767308,20896.0
511,Oahu,13.0,PMEA,2.537767308,20896.0
512,Oahu,7.0,PMEA,2.537767308,20896.0
513,Oahu,8.0,PMEA,2.537767308,20896.0
514,Oahu,13.0,PMEA,2.537767308,20896.0
515,Oahu,7.0,PMEA,2.537767308,20896.0
516,Oahu,8.0,PMEA,2.537767308,20896.0
517,Oahu,13.0,PMEA,2.537767308,20896.0
518,Oahu,7.0,PMEA,2.537767308,20896.0
519,Oahu,8.0,PMEA,2.537767308,20896.0
520,Oahu,13.0,PMEA,2.537767308,20896.0
521,Oahu,7.0,PMEA,2.537767308,20896.0
522,Oahu,10.0,PMEA,2.557877361,34121.41
523,Oahu,10.0,PMEA,2.557877361,34121.41
524,Oahu,10.0,PMEA,2.557877361,34121.41
525,Oahu,10.0,PMEA,2.557877361,34121.41
526,Oahu,10.0,PMEA,2.557877361,34121.41
527,Oahu,10.0,PMEA,2.557877361,34121.41
528,Oahu,10.0,PMEA,2.557877361,34121.41
529,Oahu,10.0,PMEA,2.557877361,34121.41
530,Oahu,10.0,PMEA,2.557877361,34121.41
531,Oahu,10.0,PMEA,2.557877361,34121.41
